method,auroc,fpr95,tpr05
loss,88.1%,59.3%,57.1%
zlib,90.8%,52.6%,71.3%
mink_0.1,87.6%,68.7%,57.8%
mink_0.2,88.0%,63.8%,56.0%
mink_0.3,88.2%,60.1%,56.0%
mink_0.4,88.1%,60.4%,57.1%
mink_0.5,88.0%,61.9%,57.1%
mink_0.6,88.1%,60.8%,57.1%
mink_0.7,88.1%,60.4%,57.1%
mink_0.8,88.1%,59.3%,57.1%
mink_0.9,88.1%,59.3%,57.1%
mink_1.0,88.1%,59.3%,57.1%
mink++_0.1,81.7%,79.5%,51.5%
mink++_0.2,84.9%,74.3%,54.9%
mink++_0.3,85.5%,67.2%,54.9%
mink++_0.4,85.4%,67.9%,54.1%
mink++_0.5,85.1%,69.8%,53.4%
mink++_0.6,84.5%,70.9%,51.9%
mink++_0.7,83.5%,72.0%,51.5%
mink++_0.8,81.3%,77.6%,47.0%
mink++_0.9,77.4%,82.1%,35.1%
mink++_1.0,69.6%,86.6%,16.0%
